LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21,3.51,1.3,20.17,15.19,0,174.87,0,0.72,5.66,6.93,2.86,1.7,49.73,1.63,0,46.37,30.59,38.3,58.5,106.41,0,46.72,0,528.46,152,174.91,48.09,80.76,4.12,14.86,0,30.42
22,0,20.62,68.25,28.43,0,139.22,47.42,37.75,251.47,63.62,0,32.35,14.1,0,0,0,276.46,2924,328.67,633.66,69.23,0,0,76.5,0.64,224.46,3.44,74.44,20.2,36.41,82.57,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.79,3,7.27,33.41,0,115.04,0,1.94,2.36,11.89,5.98,84.41,13.27,1.69,0,61.7,37.33,48.55,205.88,62.27,419.74,13.54,0,0,69.81,212.1,6.93,14.2,2.01,3.72,0,31.47
25,1.25,1.03,1.02,5.29,0,76.15,68.81,0.08,0.92,1.86,0.1,51.06,6.1,1.06,0,4.38,1.41,2.66,8.77,5.66,103.37,0.48,0,80.03,0,100.2,7.11,14.51,0,0,0,2.03
26,15.94,9.82,48.3,36.92,0,241.94,0,14.04,21.74,25.54,11.28,15.64,27.92,15.32,0,114.27,21.99,62.84,54.1,128.04,210.24,104.34,0,277.74,162.08,0,28.94,87,12.04,25.64,0,39.72
27,1.28,0.23,0,0,0,0.76,0,0.28,0.71,3.06,0.28,1.64,0.12,0.98,0,0.02,0.1,0.52,19.52,0.52,82.97,5.97,0,4.96,18.86,4,0,1.33,0,0,0,4.97
28,4.71,1.52,6.85,5.8,0,11.25,0,1.6,4.23,6.49,2.49,7.29,5.44,3.06,0,11.2,5.75,4.67,33.87,18.47,95.8,26.67,0,17.32,20.89,27.94,0.47,0,0.98,2.89,0,13.6
29,12.5,11.23,0.86,0.47,0,1.26,6.56,13.61,8.54,12.66,0,0.48,0.25,3.29,0,100.58,71.24,67.82,66.9,97.73,3.81,27.16,0,0.79,0,0.88,0,0.99,0,2.63,9.75,64.79
30,34.83,41.96,0,1.99,0,8.44,3.82,47.54,36.99,76.57,0,6.27,2.01,18.06,0,395.87,156.55,144.54,220.32,221.29,8.15,82.78,0,5.39,0,17.72,0,4.54,1.17,0,45.07,142.94
31,4.89,0,0,0,0,0,0,0,7.86,0,0,0,0,3.21,0,66.86,20.42,44.78,0,123.41,0,37.03,0,0,0,0,0,0,0.3,15.94,0,48.9
32,0,50.43,60.51,21.96,0,51.17,45.02,93.4,157.5,73.73,0,8.49,9.02,0,0,0,834.96,0,403,0,88.86,0,0,79.43,4.03,153,6.28,24.24,127.07,172.95,104.13,0
