SEGMENT: 1,SCENARIO:  CP_W of Avalon,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GUL,GUL,EL,EL,CORRIDOR,EL,EL,GUL,GUL,EL,EL,GGUL,GUL,EL,EL,EL,EL
DIRECTION,NB/EB,SB/WB,NB/EB,SB/WB,TOTAL,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB
 14:   ,   1007,    973,    226,    220,   2427,   18.3,   18.4,   0.33,   0.32,   0.06,   0.06,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 15:   ,   1126,    944,    254,    213,   2537,   18.4,   18.4,   0.37,   0.31,   0.07,   0.06,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 16:   ,   1146,    879,    399,    302,   2726,   25.8,   25.6,   0.38,   0.29,   0.11,   0.08,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 17:   ,   1753,   1159,    871,    399,   4181,   33.2,   25.6,   0.58,   0.38,   0.24,   0.11,   44.9,   45.0,   65.0,   65.0,   0.30,   0.30
 18:   ,   1803,   1200,    948,    418,   4369,   34.5,   25.8,   0.60,   0.40,   0.26,   0.12,   44.9,   45.0,   65.0,   65.0,   0.30,   0.30
 19:   ,   1670,   1226,    754,    431,   4081,   31.1,   26.0,   0.55,   0.41,   0.21,   0.12,   44.9,   45.0,   65.0,   65.0,   0.30,   0.30
 20:   ,   1070,    793,    239,    178,   2280,   18.3,   18.3,   0.35,   0.26,   0.07,   0.05,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 21:   ,    883,    552,    195,    124,   1754,   18.1,   18.3,   0.29,   0.18,   0.05,   0.03,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 22:   ,    791,    474,    119,     73,   1456,   13.1,   13.3,   0.26,   0.16,   0.03,   0.02,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 23:   ,    600,    372,     90,     57,   1120,   13.1,   13.3,   0.20,   0.12,   0.03,   0.02,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 24:   ,    425,    241,     64,     37,    766,   13.0,   13.3,   0.14,   0.08,   0.02,   0.01,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
TOTAL:,  20089,  18964,   5760,   5792,  50606,   22.3,   23.4,

TOTAL GU CORRIDOR:,   39053
TOTAL XL CORRIDOR:,   11552
TOTAL CORRIDOR:,   50606,

PULL LINK
XL NB A NODE:,   18797
XL NB B NODE:,   18795
XL SB A NODE:,   18794
XL SB B NODE:,   18796
GU NB A NODE:,   18757
GU NB B NODE:,   18758
GU SB A NODE:,   18426
GU SB B NODE:,   18382

SEGMENT: 3,SCENARIO:  CP_E of CR 13,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GUL,GUL,EL,EL,CORRIDOR,EL,EL,GUL,GUL,EL,EL,GGUL,GUL,EL,EL,EL,EL
DIRECTION,NB/EB,SB/WB,NB/EB,SB/WB,TOTAL,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB
  1:   ,    239,    107,      4,      2,    352,    1.7,    1.6,   0.08,   0.04,   0.00,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  2:   ,    140,     84,      2,      1,    228,    1.7,    1.6,   0.05,   0.03,   0.00,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  3:   ,    105,     74,      2,      1,    182,    1.7,    1.6,   0.03,   0.02,   0.00,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  4:   ,     77,     76,      1,      1,    156,    1.7,    1.6,   0.03,   0.03,   0.00,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  5:   ,     83,    176,      1,      3,    263,    1.7,    1.6,   0.03,   0.06,   0.00,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  6:   ,    206,    500,     14,     32,    752,    6.2,    6.0,   0.07,   0.17,   0.00,   0.01,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
  7:   ,   1128,   1879,     84,    239,   3330,    7.0,   11.3,   0.37,   0.62,   0.02,   0.07,   55.0,   54.9,   65.0,   65.0,   0.45,   0.45
  8:   ,   1407,   2288,    107,    411,   4213,    7.0,   15.2,   0.47,   0.76,   0.03,   0.11,   54.9,   54.8,   65.0,   65.0,   0.45,   0.45
  9:   ,   1474,   2205,    112,    369,   4161,    7.1,   14.3,   0.49,   0.73,   0.03,   0.10,   54.9,   54.8,   65.0,   65.0,   0.45,   0.45
 10:   ,    631,   1009,     59,     92,   1791,    8.6,    8.4,   0.21,   0.33,   0.02,   0.03,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 11:   ,    660,    852,     62,     77,   1650,    8.6,    8.3,   0.22,   0.28,   0.02,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 12:   ,    768,    855,     72,     77,   1772,    8.6,    8.3,   0.25,   0.28,   0.02,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 13:   ,    875,    854,     83,     77,   1889,    8.6,    8.3,   0.29,   0.28,   0.02,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 14:   ,    885,    860,     84,     78,   1907,    8.6,    8.3,   0.29,   0.29,   0.02,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 15:   ,   1010,    834,     96,     75,   2015,    8.7,    8.3,   0.33,   0.28,   0.03,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 16:   ,   1098,    822,    153,    107,   2179,   12.2,   11.5,   0.36,   0.27,   0.04,   0.03,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 17:   ,   2409,   1810,    482,    230,   4930,   16.7,   11.3,   0.80,   0.60,   0.13,   0.06,   54.7,   54.9,   65.0,   65.0,   0.45,   0.45
 18:   ,   2505,   1877,    528,    241,   5151,   17.4,   11.4,   0.83,   0.62,   0.15,   0.07,   54.5,   54.9,   65.0,   65.0,   0.45,   0.45
 19:   ,   2244,   1920,    410,    249,   4823,   15.5,   11.5,   0.74,   0.64,   0.11,   0.07,   54.8,   54.9,   65.0,   65.0,   0.45,   0.45
 20:   ,    971,    701,     92,     63,   1827,    8.7,    8.3,   0.32,   0.23,   0.03,   0.02,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 21:   ,    813,    488,     76,     44,   1421,    8.6,    8.2,   0.27,   0.16,   0.02,   0.01,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 22:   ,    707,    404,     47,     26,   1184,    6.2,    6.0,   0.23,   0.13,   0.01,   0.01,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 23:   ,    535,    317,     35,     20,    908,    6.2,    6.0,   0.18,   0.11,   0.01,   0.01,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
 24:   ,    381,    205,     25,     13,    625,    6.2,    6.0,   0.13,   0.07,   0.01,   0.00,   55.0,   55.0,   65.0,   65.0,   0.45,   0.45
TOTAL:,  21351,  21197,   2632,   2530,  47710,   11.0,   10.7,

TOTAL GU CORRIDOR:,   42548
TOTAL XL CORRIDOR:,    5162
TOTAL CORRIDOR:,   47710,

PULL LINK
XL NB A NODE:,   18779
XL NB B NODE:,   18777
XL SB A NODE:,   18776
XL SB B NODE:,   18778
GU NB A NODE:,   18763
GU NB B NODE:,   18764
GU SB A NODE:,   18450
GU SB B NODE:,   97405
