LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,0,5.86,36.36,3.08,0,3.95,5.81,10.58,0,0,0,3.39,1.44,0,0,0,0,0,0,0,21.32,0,0,15.78,0,4.28,0,1.55,0,0,0,0
12,1.42,1.64,165.65,16.79,0,32.5,26.07,3.79,3.2,4.66,5.54,0,3.89,0.96,0,30.58,24.34,33.03,173.23,90.82,44.54,80.37,0,152.01,55.72,19.06,0,12.55,0.06,13.71,0,4.96
13,0.95,0.19,36.02,8.44,0,33.71,0,0.66,0.99,0.96,1.68,3.03,0,0.51,0,10,21.05,6.11,57.4,42.69,41.21,29.1,0,23.03,26.49,27.33,1.02,12.13,0.15,1.95,0,3.26
14,0,0.12,19.52,1.66,0,0.66,0,0.46,27.06,2.65,0,0.64,0.58,0,0,0,22.27,259.43,40.1,446.76,0.92,0,0,0.93,0.38,1.39,0,0,0.48,16.6,0,0
15,0,59.44,389.89,48.2,0,209.81,83.26,121.77,0,163.01,0,75.09,12.67,0,0,0,0,0,0,0,688.87,0,839.93,169.23,8.55,400.57,13.03,62.05,252.58,1143.64,121.96,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,116.28,92.42,84.99,7.64,0,71.48,106.08,133.11,0,160.86,0,85.72,25.52,0.16,0,0,0,0,0,99.69,131.7,135.77,0,105.04,1.95,102.77,35.94,42.33,216.69,288.33,29.28,412.55
18,227.1,91.53,76.49,7.41,0,33.52,69.41,133.89,0,104.75,0,95.79,3.19,297.75,0,0,0,0,36.93,1345.28,90.32,3355.26,0,99.81,2.52,67.14,0.01,7.04,224.87,288.02,87.94,0
19,10.89,82.61,232.23,24.54,0,79.59,76.75,71.29,8.87,119.59,0,104.24,9.37,0.75,0,0,0,97.83,0,341.4,90.51,340.95,0,261.86,56.75,142.91,3.96,13.34,85.82,233.65,0,237.19
20,270.45,99.78,273.49,35.4,0,146.74,104.84,131.35,353.91,205.02,0,109.11,19.44,354.47,0,0,191.18,1200.76,407.06,0,408.41,842.41,0,118.9,5.31,258.62,14.84,47.6,247.47,342.56,192.77,0
21,2.2,1.13,61.74,10.94,0,160.39,0,1.13,3.01,4.56,2.26,17.22,35.58,0.43,0,280.81,65.13,26.37,101.13,336.84,0,114.95,0,412.5,99.62,25.8,31.11,41.27,1.34,9.99,0,34.58
22,0,72.54,36.93,25.77,0,105.52,37.68,137.49,331.55,165.12,0,38.39,10.02,0,0,0,346.39,3552.33,412.08,929.71,88.68,0,0,90.32,0.36,90.18,0,43.74,102.4,48.09,160.66,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2.2,23.46,33.53,0,100.77,0,1.45,0.86,3.87,8.05,94.64,13.01,0,0,93.35,65.82,54.42,332.53,104.32,444.58,129.62,0,0,55.72,141.32,1.83,15.22,7.78,4.77,0,21.54
25,0.05,1.26,3.14,8.22,0,58.83,47.67,0,0.12,0.52,0,57.57,3.84,0.31,0,0,0.48,1.11,52.11,3.95,122.15,0.36,0,68.15,0,56.88,4.74,8.73,0,0,0,1.06
26,2.16,0.2,73.05,15.51,0,86.42,0,0.97,3.6,6.31,2.57,12.84,10.04,1.37,0,297.74,57.23,52.68,174.98,268.51,30.59,111.36,0,144.79,57.21,0,3.02,16.5,0.06,11.49,0,55.23
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,8.5,0,35.33,23.48,75.99,16.19,0,0.2,9.91,9.56,0,0.15,0,0,0,0.01
28,0.16,0,24.51,5.01,0,4.74,0,0.18,0.47,1.31,1.06,6.17,4.92,0.04,0,35.16,7.62,5.22,50.28,42.12,76.26,29.56,0,0.49,8.19,15.08,0,0,0,2.59,0,4.48
29,0,2.85,4.77,0.81,0,0.6,2.32,10.21,0,24.09,0,0.14,0.23,0,0,192.48,148.49,156.65,81.28,207.21,1.64,189.17,0,0.32,0,0.02,0,0.01,0,18.12,20.36,95.61
30,20.36,24.21,0,1.72,0,8.49,3.88,28.82,38.42,121.15,0,7.52,1.46,13.81,0,920.41,259.21,351.73,269.75,431.16,7.89,235.3,0,6.08,0,10.01,0,3.55,27.79,0,58.61,229.76
31,0.44,0,0,0,0,0,0,0,3.47,0,0,0,0,0.28,0,117.49,90.42,49.95,0,195.72,0,188.2,0,0,0,0,0,0,32.68,63.92,0,65.64
32,0,27.24,227.67,21.82,0,42.34,22.08,63,103.9,77.29,0,8.02,4.06,0,0,0,535.58,0,377.65,0,91.54,0,0,52.57,4.8,93.98,0,8.51,172.07,207.83,96.69,0
