HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
19,3.3,21.29,79.66,8.39,0,28.79,24.15,24.04,2.59,38.92,0,40.77,2.75,0.01,0,0,0,30.35,0,97.28,36.75,127.1,0,100.6,17.44,39.23,1.28,5.07,27.13,84.9,0,66.28
20,77.87,24.97,92.31,11.61,0,51.21,33.03,40.69,108.38,60.79,0,36.29,5.66,109.34,0,0,58.66,356.13,127.39,0,283.07,236.26,0,42.65,1.92,77.64,5.28,16.54,79.9,111.94,60.03,0
21,1.12,0.45,20.11,4.41,0,69.8,0,0.73,1.32,2.45,1.12,7.24,13.26,0.72,0,321.43,24.71,12.64,39.69,211.82,0,70.55,0,455.14,49.05,17.59,12.71,18.47,0.41,4.29,0,15.66
22,0,24.36,15.71,11.92,0,51.56,16.4,57.14,132.39,56.95,0,15.23,4.54,0,0,0,145.38,1374.04,170.28,297.09,57.63,0,0,43.98,0.05,38.09,0,21.7,37.63,18.47,63.77,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.68,8.37,12.73,0,44.12,0,0.35,0.16,1.54,2.2,39.45,4.38,0,0,30.03,21.37,17.96,128.57,33.35,505.25,58.05,0,0,19.27,50.67,0.73,6.73,2.44,1.6,0,6.18
25,0.04,0.44,0.95,2.64,0,28.37,19.82,0.05,0.06,0.21,0.13,20.42,1.2,0.16,0,0.27,0.1,0.09,16.15,1.39,70.2,0.06,0,32.21,0,22.13,2.2,4.22,0,0,0,0.32
26,0.36,0,21.8,4.76,0,33.44,0,0.15,0.68,1.18,0.69,3.53,2.59,0.15,0,255.36,12.79,15.6,51.63,78.92,11.98,39.54,0,58.48,16.11,0,0.99,6.01,0.01,3.8,0,10.89
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,2.36,0,11.24,7.29,27.21,7.06,0,0.1,3.46,2.88,0,0.06,0,0,0,0
28,0,0,5.64,1.88,0,1.5,0,0.04,0.08,0.51,0.32,2.89,1.97,0.06,0,12.02,2.54,1.15,19.02,12.76,32.01,12.95,0,0.21,2.96,4.86,0,0,0,1.07,0,1.4
29,0,0.62,1.64,0.23,0,0.12,1.07,3.35,0,7.67,0,0.12,0.08,0,0,59.73,50.62,54.76,27.06,65.49,0.55,74.39,0,0.04,0,0,0,0.01,0,5.4,6.89,28.64
30,7.59,6.69,0,0.79,0,3.57,1.22,10.98,13.71,42.1,0,3.15,0.43,4.39,0,269.88,76.04,104.82,90.69,128.09,4.24,91.35,0,2.39,0,3.68,0,1.58,7.44,0,22.18,62.34
31,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0.16,0,34.14,25.45,16.34,0,61.7,0,71.85,0,0,0,0,0,0,11.34,25.73,0,18.78
32,0,7.46,79.27,7.54,0,14.01,7.17,20.51,36.14,23.73,0,2.32,1.34,0,0,0,172.42,0,125.8,0,50.3,0,0,17.95,1.6,21.89,0,2.97,60.3,66.71,32.21,0
