HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
19,44.79,30.58,133.65,14.24,0,55.73,41.65,26.97,13.22,78.41,0,76.88,7.21,26.51,0,0,0,17.64,0,159.28,77.44,190.27,0,122.42,18.88,70.41,2.56,15.92,28.73,144.21,0,141.2
20,161.77,37.79,129.17,15.08,0,71.84,58.09,53.39,159.36,99.79,0,58.43,21.22,187.12,0,0,110.13,535.9,157.77,0,365.32,386.56,0,49.71,2.89,144.77,18.49,33.68,91.4,129.01,83.07,0
21,4.25,2.16,30.84,6.59,0,51.61,0,3.34,4.55,8.96,5.12,10.44,19.28,1.84,0,1139.96,48.95,61.11,51.62,377.02,0,33.98,0,691.27,193.14,184.52,13.7,24.15,2.78,8.03,0,57.49
22,0,20.75,8.59,14.18,0,33.14,15.77,49.98,165.37,77.86,0,9.69,4.05,0,0,0,295.14,2104.48,182.69,368.17,56.7,0,0,17.45,0.11,26.21,0.22,7.02,5.3,17.31,68.03,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,1.17,13.82,17.67,0,54.11,0,1.81,2.19,6.43,5.74,86.05,9.76,1.06,0,50.27,36.98,45.18,175.06,52.82,687.19,16.22,0,0,28.66,67.2,0.23,10.26,2.37,3.09,0,23.43
25,0.45,0.91,1.4,5.03,0,14.89,20.65,0.1,0.43,0.58,0.18,35.96,7.27,0.29,0,2.23,0.75,1.89,22.13,2.81,175.73,0.11,0,11.12,0,36.49,2.29,4.94,0,0,0,1.88
26,1.24,0.39,36.02,8.88,0,49.1,0,0.22,2.23,2.82,1.46,8.72,6.31,1.1,0,674.38,21.56,40.98,67,136.54,211.16,26.47,0,58.93,39.82,0,0.11,8.53,0.11,6.48,0,25.37
27,0.02,0.06,0,0,0,3.78,0,0.07,0.01,0.21,0.08,0.07,0.05,0.01,0,11.58,12.22,1.42,1.3,14.69,25.06,0.15,0,0.25,10.73,0.3,0,0.03,0,0,0,0.28
28,0.03,0.02,9.3,3.09,0,2.16,0,0.1,0.27,1.14,0.65,6.66,4.16,0.09,0,21.71,9.29,5.11,4.66,19.11,23.43,6.28,0,1.19,7.05,6.45,0.04,0,0.23,2.07,0,3.36
29,11.39,2,2.05,0.32,0,0.17,3.02,5.17,10.21,4.63,0,0.25,0.08,1.38,0,86.59,64.36,79.82,22.15,88.67,2.66,3.95,0,0,0,0.09,0,0,0,0.81,1.91,54.59
30,15.32,11.06,0,1.16,0,4.71,2.03,15.77,21.95,74.58,0,7.34,0.87,7.85,0,424.89,102.06,143.78,150.73,148.33,8.09,17.8,0,3.08,0,6.68,0,2.07,0.85,0,25.62,99.32
31,8.39,0,0,0,0,0,0,0,8.24,0,0,0,0,3,0,34.06,12.29,27.37,0,83.58,0,68.03,0,0,0,0,0,0,3.91,17.23,0,39.59
32,0,19.55,90.41,8.6,0,32.3,26.5,34.44,70.33,34.85,0,11.6,3,0,0,0,219.08,0,136.05,0,75.96,0,0,22.69,1.85,32.23,0.63,7.41,58.34,89.58,38.91,0
