LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
14,0,0.68,40.34,2.09,0,1.54,0.53,1.78,43.11,6.34,0,2.15,1.11,0,0,0,53.6,366.04,23.37,534.65,1.15,0,0,0.07,0,3.16,0.17,0.32,2.75,24.49,1.36,0
15,0,32.33,370.01,50.29,0,184.84,75.87,95.02,0,221.32,0,36.92,16.98,0,0,0,0,0,0,0,984.97,0,2029.99,89.72,0,689.73,1.55,39.96,232.37,1277.43,83.5,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,223.24,132.6,125.44,7.37,0,77.28,122.81,141.79,0,172.33,0,80.88,33.06,75.96,0,0,0,0,0,390.41,112.99,863.78,0,87.04,0,68.47,41.52,53.68,178.01,304.63,0,700.92
18,278.88,51.98,93.58,5.4,0,1.13,31.43,73.16,0,61.98,0,6.74,1.76,351.99,0,0,0,0,0,1625.77,32.98,5546.53,0,6.14,0,3.18,0.07,0.76,94.25,237.48,15.24,0
19,128.77,130.04,484.12,61.52,0,230.95,161.07,91.91,0,214.96,0,236.67,37.04,76.49,0,0,0,0,0,408.36,189.39,444.12,0,366.98,60.98,241.92,7.49,74.57,81.02,327.36,0,371.42
20,509.11,147.78,532.46,41.84,0,188.74,168.75,164.92,470.49,301.13,0,152.92,67.61,578.12,0,0,432.86,1651.27,386.14,0,449.67,1204.92,0,126.88,0,325.75,48.8,86.4,258.53,453.87,241.86,0
21,3.77,6.14,65.83,14.26,0,110.37,0,6.95,6.42,17.48,8.58,19.46,43.99,1.51,0,804.89,85.39,52.59,141.95,442.61,0,3.78,0,782.05,204.53,197.14,31.05,50.53,9.95,0,0,83.01
22,0,63.2,37.84,2.44,0,31.01,29.95,118.49,442.55,204.19,0,0.57,0.63,0,0,0,964.42,5839.42,425.87,1121.93,34.88,0,0,27.72,0,8.77,0.46,4.94,17.99,19.29,161.85,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8.74,4.3,35.3,59.47,0,156.86,0,4.66,5.63,15.26,13.48,193.75,35.48,2.88,0,150.27,97.35,90.95,458.04,137.85,779.62,22.91,0,0,148.82,214.58,0.59,30.89,6.63,0,0,63.98
25,0,2.74,4.58,39.52,0,149.2,117.93,0.22,0,0,0.23,150.92,34.45,0,0,0,0,0,76.26,0,204.65,0,0,96.85,0,146.46,6.62,62.49,0,0,0,0
26,4.01,0.56,88.17,22.05,0,98.3,0,2.57,6.49,9.35,3.07,21.43,14.53,4.62,0,652.97,51.49,9.32,260.84,315.32,173.93,7.47,0,186.12,168.62,0,0.33,12.26,0.49,0,0,84.77
27,0.04,0.19,0,0,0,10.73,0,0.2,0.03,0.61,0.2,0.18,0.21,0.02,0,33.38,37.34,4.29,3.67,39.28,57.36,0.3,0,0.64,31.05,0.88,0,0.09,0.01,0,0,0.76
28,0.28,0.25,33.28,8.66,0,5.99,0,0.06,0.72,2.42,1.87,13.26,9.25,0.04,0,60.53,21.95,0.11,32.93,51.71,50.14,2.34,0,9.49,68.13,9.59,0.12,0,0.75,0,0,8.61
29,28.55,13.02,10.06,1,0,0.75,6.38,20.48,25.37,1.64,0,0.4,0.36,4.98,0,274.74,176.22,211.08,57.24,259.11,9.47,14.46,0,0.12,0,0.04,0.01,0.01,0,0.49,1.21,152.62
30,60.08,41.87,0,0,0,0,0,45.49,50.51,195.88,0,0,0,33.85,0,914.59,402.88,608.23,368.19,535.12,0,20.65,0,0,0,0,0,0,1.75,0,76.34,306.5
31,23.67,0,0,0,0,0,0,0,22.31,0,0,0,0,8.89,0,0.19,0,78.66,0,246.7,0,162.92,0,0,0,0,0,0,8.02,55.12,0,118.36
32,0,74.22,386.21,23.39,0,84.98,76.12,98.99,203.92,116.95,0,34.66,8.46,0,0,0,682.01,0,344.41,0,111.8,0,0,59.54,0,99.01,1.68,18.3,158.34,256.07,112.86,0
