LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
12,1.4,1.47,37.98,13.54,0,12.58,29.26,2.03,2.01,3.09,2.29,0,3.45,0.89,0,47.62,50.74,39.23,90.68,101.11,12.04,36.44,0,109.55,57.39,5.75,0.17,5.75,1.97,11.53,0,4.29
13,2.41,1.45,19.66,9.55,0,32.09,0,0.79,2.3,1.6,1.99,3.37,0,0.84,0,15.34,42.9,18.31,10.43,42.46,50.51,11.7,0,23.17,34.55,13.14,0.21,10.88,0.94,2.6,0,4.79
14,0,1.08,7.96,2.52,0,1.86,1.63,1.83,45.53,6.61,0,1.21,0.67,0,0,0,44.61,366.04,45.22,560.3,0.15,0,0,0.76,0.62,2.8,0.17,1.12,0.53,27.02,2.78,0
15,0,49.2,154.44,69.96,0,227.62,130.64,95.02,0,172.02,0,58.27,21.68,0,0,0,0,0,319.25,0,205.23,0,1688.2,93.93,13.23,482.9,1.55,50.66,201.76,1350.34,110.82,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,318.91,139.92,33.59,11,0,88.42,133.69,141.79,0,171.12,0,91.97,36.95,74.11,0,0,0,0,0,206.22,118.3,136.81,0,91.79,3,89.07,41.52,60,174.52,290.07,44.28,888.68
18,256.19,43.19,33.87,11.99,0,21.62,50.91,48.77,0,56.04,0,17.11,6.37,360.29,0,0,0,0,57.73,1806.61,31.56,4810.93,0,14.96,2,47.55,0.07,11.86,61.6,132.58,15.39,0
19,142.01,118.52,90.84,27.21,0,130.21,121.77,83.65,62.37,208.71,0,129.08,8.25,95.15,0,0,0,59.24,0,740.12,112.87,732.03,0,246.6,9.46,202.15,7.49,41.97,96.26,248.25,0,443.76
20,413.47,154.65,118.06,47.53,0,206.49,192.7,169.82,494.28,297.31,0,145.52,66,575.79,0,0,292.93,1833.16,727.82,0,423.76,1041.79,0,134.39,8.87,368.21,48.8,102.66,221.7,400.15,254.13,0
21,2.45,5.11,25.27,11.35,0,109.35,0,5.12,2.99,8.99,6.07,10.24,40.65,0.63,0,201.52,90.31,55.47,93.61,393.87,0,41.58,0,452.36,118.38,73.54,31.05,46.9,11.53,9.42,0,50.84
22,0,43.75,89.72,34.13,0,66.23,60.38,78.27,391.49,169.7,0,36,11.01,0,0,0,275.05,5411.68,779.06,965.99,74.64,0,0,33.85,0.8,71.04,0.46,21.75,30.85,138.69,154.82,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8.74,7.63,15.25,57.94,0,128.67,0,5.14,6.02,14.76,18,143,24.68,3.53,0,150.27,102.24,86.06,365.75,147.26,462.91,33.34,0,0,86.17,165.12,0.59,26.22,8.48,7.79,0,60.74
25,0.87,0.84,2.09,5.73,0,32.48,64.64,0.37,1.29,1.33,0.33,57.48,12.01,0.62,0,10.06,3.06,3.21,0.41,9.36,112.7,0.8,0,33.37,0,42.42,6.62,14.02,0.23,0,0,4.9
26,7.44,1.42,32.37,19.64,0,78.58,0,0.87,4.81,3.45,2.82,6.39,12.25,4.27,0,452.5,72.23,103.32,192.53,361.74,87.83,75.86,0,142.26,65.17,0,0.33,5.89,2.68,11.76,0,51.82
27,0.04,0.19,0,0,0,10.73,0,0.2,0.03,0.61,0.2,0.18,0.21,0.02,0,33.38,37.34,4.29,3.67,39.28,57.36,0.3,0,0.64,31.05,0.88,0,0.09,0.01,0,0,0.76
28,0.85,0.54,18.87,10.11,0,5.62,0,0.57,1.79,1.96,1.58,5.77,9.06,0.84,0,60.53,28.36,22.55,12.46,68.92,47.02,21.08,0,2.95,20.04,4.43,0.12,0,1.18,5.18,0,5.2
29,27.99,14.41,2.37,1.02,0,1.98,8.39,21.73,18.19,10.51,0,1.71,0.98,2.86,0,250.62,172.76,137.96,72.44,222.38,11.26,28.57,0,2.01,0.23,2.37,0.01,0.49,0,0.94,5.22,127.8
30,62.35,37.66,0,3.18,0,10.29,8.34,38.71,67.47,133.15,0,11.76,2.73,33.52,0,930.19,327.58,318.74,258.54,462.96,9.75,141.54,0,7.67,0,11.93,0,5.12,1.07,0,44.93,305.93
31,25.7,0,0,0,0,0,0,0,22.83,0,0,0,0,10.36,0,154.79,45.52,78.66,0,263.78,0,154.13,0,0,0,0,0,0,11.92,25.14,0,107.01
32,0,72.64,59.2,19.23,0,66.97,78.97,96.1,185.59,97.28,0,29.11,6,0,0,0,867.57,0,412.54,0,82.27,0,0,56.73,4.69,69.03,1.68,15.24,134.44,267.11,102.18,0
