LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,0,5.28,5.06,1.63,0,1.5,3.62,3.7,0,0,0,0.8,1.87,0,0,0,0,0,0,0,3.02,0,0,3.3,0.16,1.02,0.02,0.57,0,0,0,0
12,1.18,0.73,11.71,3.77,0,3.93,8.55,0.31,1.16,0.86,0.86,0,3.05,0.27,0,63.39,3.99,8.52,9.11,15.82,1.85,28.24,0,27.72,30.73,3.11,0.03,1.81,0.51,3.18,0,2.28
13,0.96,0.5,2.54,2.55,0,5.6,0,0.21,0.19,1.03,0.79,2.12,0,0.03,0,7.63,2.39,2.92,1.77,4.73,1.1,7.42,0,3.89,1.3,3.13,0.02,1.61,0.11,0.43,0,2.78
14,0,4.97,1.38,0.42,0,0.34,2.11,1.01,16.12,2.97,0,0.12,0.58,0,0,0,0.01,43.92,9.48,196.71,0.16,0,0,0.22,0.05,1.43,0.01,0.7,0.72,3.59,1.68,0
15,0,51.96,33.05,15.7,0,60.6,68.96,48.86,0,88.43,0,28.28,23.8,0,0,0,0,0,76.86,0,74.63,0,1678.94,45.98,0.83,183.1,1.61,5.53,45.47,240.28,49.87,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,131.39,11.64,8.75,2.44,0,6.96,10.27,10.7,0,19.23,0,3.43,7.66,7.01,0,0,0,0,0,173.65,1.97,237.52,0,7.42,0.53,6.88,0.02,0.8,9.5,21.12,0.57,698.84
18,100.23,9.91,8.09,2.91,0,5.36,7.2,8.44,0,10.43,0,7.07,3,120.23,0,0,0,0,11.01,641.35,3.17,2005.43,0,2.33,0.51,20.2,0.02,2.08,1.39,16.2,2.48,0
19,137.6,91.26,42.65,13.44,0,59.27,100.88,69.49,35.24,164.69,0,100.35,61.24,95.65,0,4.85,6.37,35.81,0,337.18,64.14,282.65,0,114.34,24.62,165,4.05,17.94,53.76,158.96,0.78,395.35
20,160.49,29.86,36.02,16.43,0,26.19,41.88,23.71,180.37,111.92,0,25.45,22.28,219.45,0,0,13.78,526.57,179.74,0,160,498.3,0,15.36,2.52,176.06,0.61,9.87,22.19,60.27,63.08,0
21,40.65,12.92,9.65,4.61,0,94.35,0,14.75,33.67,33.93,21.21,34.81,27.03,29.74,0,203.69,54.94,5.03,19.73,242.44,0,37.92,0,248.76,73.39,76.51,26.45,45.69,6.9,3.44,0,67.31
22,0,10.03,21.4,9.45,0,12.2,14.64,8.78,38.66,24.15,0,19.33,7.23,0,0,0,3.2,1379.34,58.86,141.16,28.13,0,0,5.63,0.21,28.9,0.05,4.96,4.67,9.57,15.6,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14.51,11.15,8,27.53,0,40.93,0,7.97,11.92,8.09,28.2,112.89,24.23,11.19,0,245.47,37.53,23.24,249.45,87.49,303.5,52.96,0,0,71.3,135.62,0.25,9.62,8.95,4.29,0,71.66
25,0.87,0.52,0.55,4.44,0,24.63,44.65,0.34,0.67,0.84,0.92,26.11,26.19,0.18,0,8.5,1.42,2.1,0.91,5.15,57.38,0.5,0,31.2,0,52.84,0.03,1.68,0.21,0,0,3.98
26,4.38,5.33,15.79,9.02,0,41.47,0,3.05,3.28,8.87,8.41,8.58,23.15,3.55,0,266.79,21.72,36.52,86.91,153.58,23.57,91.43,0,89.4,51.1,0,0.39,5.96,2.8,8.99,0,91.95
27,2.14,0.65,0,0,0,15.57,0,0.47,0.73,0.76,1.17,1.05,16.1,1.01,0,44.8,4.72,0.04,7.04,3.36,11.61,0.02,0,3.16,13.81,11.39,0,0.03,0,0,0,1.62
28,2.58,2.09,10.96,5.02,0,9.96,0,0.71,2.37,3.11,2.85,5.54,12.25,2.87,0,88.91,8.42,11.66,11.46,20.84,9.72,43.6,0,8.84,10.71,12.9,0.05,0,5.96,2.87,0,8.36
29,38.65,15.62,0.65,0.88,0,6.63,6.3,14.83,23.27,10.56,0,1.53,0.48,18.98,0,360.24,83.71,0.7,26.22,136.49,6.61,79.2,0,6.32,0.13,6.05,0,0.26,0,1.14,6.93,130.64
30,50.57,29.46,0,1.01,0,7.06,18.88,24.29,43.82,99.26,0,4.6,8.43,25,0,917.42,170.41,50.73,154.48,271.97,3.48,33.39,0,7.99,0,4.7,0.02,0.02,13,0,35.14,204.52
31,22.57,0,0,0,0,0,0,0,16.94,0,0,0,0,14.1,0,145.62,39.61,2.72,0,116.21,0,67.66,0,0,0,0,0,0,22.37,10.33,0,86.33
32,0,33.28,11.27,3.7,0,17.21,29.55,33.9,45.82,25.18,0,6.34,14.07,0,0,0,206.42,0,75.59,0,11.29,0,0,21.89,1.02,9.94,0.07,2.2,28.39,32.29,20.45,0
